City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Atuona,PF,2020-03-17 19:49:12,-9.8,-139.03,1,73,82.94,10.04
Burnie,AU,2020-03-17 19:49:31,-41.07,145.92,100,87,64.99,1.99
Salalah,OM,2020-03-17 19:49:30,17.02,54.09,75,73,77.0,5.82
Båtsfjord,NO,2020-03-17 19:51:16,70.63,29.72,75,92,24.8,8.05
Klaksvík,FO,2020-03-17 19:47:47,62.23,-6.59,43,67,33.8,25.28
Torbay,CA,2020-03-17 19:49:29,47.67,-52.73,75,73,28.0,24.16
Kloulklubed,PW,2020-03-17 19:51:17,7.04,134.26,75,74,82.4,5.82
Port Elizabeth,ZA,2020-03-17 19:49:15,-33.92,25.57,0,64,69.8,8.05
Druzhba,UA,2020-03-17 19:51:17,52.04,33.95,0,90,33.44,5.17
Harrismith,ZA,2020-03-17 19:51:17,-28.27,29.13,100,88,54.03,5.93
Omaha,US,2020-03-17 19:47:16,41.26,-95.94,90,65,46.99,11.41
San Joaquin,VE,2020-03-17 19:51:17,10.26,-67.79,36,81,75.4,7.63
Maragogi,BR,2020-03-17 19:49:24,-9.01,-35.22,17,75,83.44,12.64
Thompson,CA,2020-03-17 19:49:13,55.74,-97.86,5,45,5.0,12.75
Hasaki,JP,2020-03-17 19:49:18,35.73,140.83,20,57,52.0,5.82
Hwange,ZW,2020-03-17 19:51:17,-18.37,26.5,88,91,64.54,7.07
Carmo do Rio Claro,BR,2020-03-17 19:51:17,-20.97,-46.12,36,88,68.65,1.95
Carahue,CL,2020-03-17 19:51:17,-38.7,-73.17,0,72,64.4,8.05
Provideniya,RU,2020-03-17 19:48:32,64.38,-173.3,75,92,30.2,22.37
Port-Gentil,GA,2020-03-17 19:49:09,-0.72,8.78,40,83,84.2,10.29
Geraldton,AU,2020-03-17 19:51:17,-28.77,114.6,93,59,64.4,8.05
Punta Arenas,CL,2020-03-17 19:47:08,-53.15,-70.92,75,54,55.4,24.16
Mar del Plata,AR,2020-03-17 19:45:22,-38.0,-57.56,100,88,66.99,3.36
Talnakh,RU,2020-03-17 19:49:23,69.49,88.4,75,92,10.4,26.84
Ribeira Grande,PT,2020-03-17 19:49:11,38.52,-28.7,12,88,58.6,10.07
Kunduz,AF,2020-03-17 19:51:18,36.73,68.86,84,48,56.1,3.4
Ngerengere,TZ,2020-03-17 19:51:18,-6.75,38.12,100,94,73.54,0.81
Qiongshan,CN,2020-03-17 19:51:18,20.01,110.35,75,94,71.6,6.71
Alice Springs,AU,2020-03-17 19:49:22,-23.7,133.88,0,32,80.6,10.29
Cabo San Lucas,MX,2020-03-17 19:45:14,22.89,-109.91,75,64,80.6,8.05
Hamilton,US,2020-03-17 19:49:34,39.18,-84.53,1,65,51.01,3.36
Arraial do Cabo,BR,2020-03-17 19:49:16,-22.97,-42.03,90,100,71.6,6.93
Cape Town,ZA,2020-03-17 19:49:14,-33.93,18.42,8,88,66.99,10.29
Saint George,US,2020-03-17 19:46:47,37.1,-113.58,94,43,59.0,8.05
Shimoda,JP,2020-03-17 19:49:43,34.67,138.95,20,47,59.0,11.41
East London,ZA,2020-03-17 19:47:51,-33.02,27.91,66,82,69.53,11.25
Ahipara,NZ,2020-03-17 19:51:18,-35.17,173.17,0,55,62.74,12.01
Bereda,ES,2020-03-17 19:49:28,43.27,-7.54,69,87,55.0,2.24
Mackay,AU,2020-03-17 19:48:41,-21.15,149.2,31,69,80.01,18.34
Busselton,AU,2020-03-17 19:49:11,-33.65,115.33,35,94,55.0,17.47
Albany,US,2020-03-17 19:45:31,42.6,-73.97,90,89,46.4,10.29
Santarém,BR,2020-03-17 19:51:18,-2.44,-54.71,20,78,82.4,4.7
Esperance,AU,2020-03-17 19:47:54,-33.87,121.9,65,82,59.0,13.87
Khatanga,RU,2020-03-17 19:49:17,71.97,102.5,89,87,-14.66,8.01
Petropavlovsk-Kamchatskiy,RU,2020-03-17 19:49:24,53.05,158.65,100,42,26.6,11.18
New Norfolk,AU,2020-03-17 19:49:11,-42.78,147.06,75,49,69.8,10.29
Saint-Joseph,RE,2020-03-17 19:51:19,-21.37,55.62,75,88,75.2,6.93
Itaituba,BR,2020-03-17 19:51:19,-4.28,-55.98,20,70,87.8,1.97
Butaritari,KI,2020-03-17 19:49:11,3.07,172.79,0,75,83.35,12.68
Upernavik,GL,2020-03-17 19:49:16,72.79,-56.15,30,51,-12.06,6.33
Lata,PT,2020-03-17 19:49:33,40.16,-8.33,0,87,62.01,1.12
Tabuk,PH,2020-03-17 19:51:19,17.42,121.44,75,82,71.04,6.8
Pevek,RU,2020-03-17 19:44:53,69.7,170.31,100,95,25.02,11.72
Port Alfred,ZA,2020-03-17 19:49:20,-33.59,26.89,24,93,66.0,7.99
George Town,MY,2020-03-17 19:45:15,5.41,100.34,20,83,78.8,5.82
Barrow,US,2020-03-17 19:51:19,71.29,-156.79,1,85,10.4,12.75
Eyl,SO,2020-03-17 19:49:29,7.98,49.82,33,75,79.74,15.12
Ostrovnoy,RU,2020-03-17 19:51:19,68.05,39.51,4,96,16.77,13.29
Departamento de Maldonado,UY,2020-03-17 19:51:19,-34.67,-54.92,100,73,70.0,13.87
Havre-St-Pierre,CA,2020-03-17 19:51:19,50.23,-63.6,90,92,26.6,14.99
Bima,ID,2020-03-17 19:51:20,-8.47,118.72,0,89,77.27,2.33
Evensk,RU,2020-03-17 19:47:47,61.95,159.23,98,90,11.73,2.95
Māngrol,IN,2020-03-17 19:51:20,21.12,70.12,0,55,77.67,10.83
Airai,TL,2020-03-17 19:49:11,-8.93,125.41,0,67,72.9,4.52
Yangi Marg`ilon,UZ,2020-03-17 19:49:15,40.43,71.72,72,46,53.6,6.93
Arrondissement de Mont-de-Marsan,FR,2020-03-17 19:51:20,44.0,-0.67,0,93,53.6,2.24
Karratha,AU,2020-03-17 19:51:20,-20.74,116.85,7,58,88.09,11.12
Waconia,US,2020-03-17 19:51:20,44.85,-93.79,90,51,43.0,4.7
Alofi,NU,2020-03-17 19:49:26,-19.06,-169.92,40,70,87.8,13.87
Russell,US,2020-03-17 19:51:20,32.35,-85.2,75,69,75.99,3.36
Avarua,CK,2020-03-17 19:46:10,-21.21,-159.78,100,88,80.6,18.34
Sojat,IN,2020-03-17 19:51:20,25.92,73.67,0,30,68.49,8.75
Panzhihua,CN,2020-03-17 19:49:44,26.59,101.71,0,78,48.61,0.49
Paamiut,GL,2020-03-17 19:49:43,61.99,-49.67,96,53,11.71,13.31
Gaozhou,CN,2020-03-17 19:51:06,21.94,110.85,84,85,69.3,3.51
Leshukonskoye,RU,2020-03-17 19:48:15,64.9,45.76,100,85,27.63,11.07
Portland,US,2020-03-17 19:48:57,45.52,-122.68,75,29,62.01,6.93
Souillac,MU,2020-03-17 19:49:21,-20.52,57.52,40,88,77.0,5.35
Muncie,US,2020-03-17 19:51:21,40.19,-85.39,1,65,50.0,3.36
Castro,BR,2020-03-17 19:49:11,-24.79,-50.01,0,97,65.41,5.91
Bathsheba,BB,2020-03-17 19:49:42,13.22,-59.52,40,69,78.8,10.29
Bluff,NZ,2020-03-17 19:49:23,-46.6,168.33,24,74,55.99,7.0
Clarence Town,AU,2020-03-17 19:49:26,-32.58,151.78,20,68,75.0,11.41
Esim,GH,2020-03-17 19:49:19,4.87,-2.24,100,85,80.2,6.02
Hobart,AU,2020-03-17 19:49:05,-42.88,147.33,75,49,69.8,10.29
Sabha,LY,2020-03-17 19:51:21,27.04,14.43,81,23,70.25,14.92
Kavieng,PG,2020-03-17 19:49:45,-2.57,150.8,100,77,82.78,13.31
Deggendorf,DE,2020-03-17 19:51:21,48.83,12.97,18,86,44.01,1.61
Tuktoyaktuk,CA,2020-03-17 19:49:19,69.45,-133.04,90,84,1.4,3.36
Whitecourt,CA,2020-03-17 19:47:14,54.15,-115.69,75,50,28.4,12.75
Sylva,RU,2020-03-17 19:51:21,58.03,56.76,29,92,24.8,11.18
Nikel,RU,2020-03-17 19:51:21,69.41,30.22,75,92,26.6,17.22
Morón,AR,2020-03-17 19:45:13,-34.65,-58.62,90,100,64.4,5.82
Birjand,IR,2020-03-17 19:51:21,32.87,59.22,67,58,53.6,16.11
São Filipe,CV,2020-03-17 19:49:26,14.9,-24.5,71,77,67.32,16.78
Olafsvik,IS,2020-03-17 19:48:50,64.89,-23.71,100,80,27.7,37.92
Leningradskiy,RU,2020-03-17 19:49:20,69.38,178.42,100,79,29.23,7.43
Toktogul,KG,2020-03-17 19:51:22,41.87,72.94,99,57,31.32,4.94
Meyzieu,FR,2020-03-17 19:51:22,45.77,5.0,0,76,51.8,3.36
Moerai,PF,2020-03-17 19:51:22,-22.43,-151.33,100,85,77.95,29.82
Tiksi,RU,2020-03-17 19:49:30,71.69,128.87,89,88,-30.86,7.9
Paoua,CF,2020-03-17 19:51:22,7.24,16.44,84,21,71.58,3.15
Margate,GB,2020-03-17 19:49:24,51.38,1.39,67,93,48.99,13.87
Beloha,MG,2020-03-17 19:49:18,-25.17,45.05,47,95,66.47,5.79
Norman Wells,CA,2020-03-17 19:49:19,65.28,-126.83,75,92,23.0,4.7
Ilulissat,GL,2020-03-17 19:49:19,69.22,-51.1,96,59,3.2,21.92
Ixmiquilpan,MX,2020-03-17 19:51:22,20.48,-99.23,2,56,68.95,10.29
Srednekolymsk,RU,2020-03-17 19:49:24,67.45,153.68,82,91,-6.99,9.64
Kutum,SD,2020-03-17 19:51:22,14.2,24.67,0,23,58.78,3.89
Marathon,US,2020-03-17 19:51:22,44.9,-89.77,1,47,44.6,8.05
Hangu,CN,2020-03-17 19:51:23,39.25,117.79,0,40,53.6,6.71
Orocué,CO,2020-03-17 19:51:23,4.79,-71.34,77,34,88.75,4.76
Bonnyville,CA,2020-03-17 19:51:23,54.27,-110.73,75,48,19.4,5.82
Berlevåg,NO,2020-03-17 19:49:24,70.86,29.09,75,79,26.6,2.24
Horta,PT,2020-03-17 19:51:23,38.53,-28.63,12,88,58.6,10.07
Pangnirtung,CA,2020-03-17 19:45:59,66.15,-65.71,100,80,4.64,17.13
Cabedelo,BR,2020-03-17 19:49:39,-6.98,-34.83,48,83,80.6,6.93
Sisimiut,GL,2020-03-17 19:51:23,66.94,-53.67,100,76,6.89,18.34
Broome,US,2020-03-17 19:51:23,42.25,-75.83,90,69,43.0,5.82
Chalmette,US,2020-03-17 19:47:55,29.94,-89.96,90,73,78.01,4.7
Alihe,CN,2020-03-17 19:51:23,50.57,123.72,0,78,25.88,5.97
Mahébourg,MU,2020-03-17 19:49:29,-20.41,57.7,40,88,77.0,5.35
Mombetsu,JP,2020-03-17 19:51:23,44.35,143.35,25,79,32.38,4.99
Kununurra,AU,2020-03-17 19:49:11,-15.77,128.73,0,70,86.0,3.36
Port Hardy,CA,2020-03-17 19:49:21,50.7,-127.42,5,66,48.2,8.05
Qui Nhon,VN,2020-03-17 19:48:30,13.77,109.23,95,78,74.05,3.67
Abnūb,EG,2020-03-17 19:51:23,27.27,31.15,0,38,60.8,17.22
Shuangyang,CN,2020-03-17 19:51:24,43.52,125.67,97,40,37.4,11.18
Asău,RO,2020-03-17 19:49:15,46.43,26.4,80,65,45.0,4.7
Muroto-misakicho,JP,2020-03-17 19:49:27,33.28,134.15,0,61,50.0,8.05
Longyearbyen,SJ,2020-03-17 19:49:29,78.22,15.64,20,75,-18.4,6.93
Shorap’ani,GE,2020-03-17 19:51:24,42.09,43.09,75,93,37.4,2.24
Yārāda,IN,2020-03-17 19:51:24,17.65,83.27,40,88,77.0,2.24
Kahului,US,2020-03-17 19:46:04,20.89,-156.47,40,65,82.4,9.17
Te Anau,NZ,2020-03-17 19:51:24,-45.42,167.72,3,56,55.09,3.67
Katsuura,JP,2020-03-17 19:49:21,35.13,140.3,20,50,55.4,8.05
Périgueux,FR,2020-03-17 19:51:24,45.18,0.72,20,87,50.0,3.36
Bambous Virieux,MU,2020-03-17 19:49:37,-20.34,57.76,40,88,77.0,10.16
Araçuaí,BR,2020-03-17 19:51:24,-16.85,-42.07,9,94,70.03,4.52
Tasiilaq,GL,2020-03-17 19:49:10,65.61,-37.64,100,72,10.4,9.66
Gushikawa,JP,2020-03-17 19:51:24,26.35,127.87,90,82,66.2,3.36
Storforshei,NO,2020-03-17 19:51:25,66.4,14.52,100,93,35.01,1.99
Lufilufi,WS,2020-03-17 19:51:25,-13.87,-171.6,68,70,81.32,7.31
Temyasovo,RU,2020-03-17 19:51:25,52.99,58.1,40,85,23.0,4.47
Sørland,NO,2020-03-17 19:51:25,67.67,12.69,100,70,41.36,27.47
Sitka,US,2020-03-17 19:49:16,57.05,-135.33,40,72,44.6,13.87
Chumikan,RU,2020-03-17 19:51:25,54.72,135.31,98,77,27.61,7.36
Arkul',RU,2020-03-17 19:51:25,57.28,50.04,1,91,23.25,4.68
Hambantota,LK,2020-03-17 19:49:26,6.12,81.12,100,80,78.75,10.45
Lagoa,PT,2020-03-17 19:49:32,39.05,-27.98,0,80,62.58,15.95
Marietta,US,2020-03-17 19:47:49,33.95,-84.55,1,64,69.8,2.01
Lyubashivka,UA,2020-03-17 19:51:25,47.84,30.26,68,74,36.66,5.57
Faanui,PF,2020-03-17 19:49:20,-16.48,-151.75,100,70,83.43,6.87
Touros,BR,2020-03-17 19:49:39,-5.2,-35.46,20,83,80.6,6.93
Brejo,BR,2020-03-17 19:51:25,-3.68,-42.75,100,97,74.84,3.0
Brae,GB,2020-03-17 19:51:25,60.4,-1.35,39,93,41.0,17.22
Bonavista,CA,2020-03-17 19:51:25,48.65,-53.11,62,70,27.09,23.42
Bandarbeyla,SO,2020-03-17 19:49:46,9.49,50.81,44,71,78.98,9.71
Savannah,US,2020-03-17 19:47:57,32.08,-81.1,40,73,77.0,8.05
Pochutla,MX,2020-03-17 19:51:26,15.74,-96.47,75,70,86.0,11.41
Belyy Yar,RU,2020-03-17 19:51:26,53.6,91.39,100,86,26.6,2.24
Aksay,RU,2020-03-17 19:51:26,47.26,39.87,0,63,28.4,2.24
Mandsaur,IN,2020-03-17 19:51:26,24.07,75.07,19,31,65.28,7.43
Dillon,US,2020-03-17 19:51:26,34.42,-79.37,90,100,62.6,3.58
Saldus,LV,2020-03-17 19:51:26,56.66,22.49,85,90,39.18,9.75
Derzhavīnsk,KZ,2020-03-17 19:51:26,51.1,66.32,32,94,17.13,11.16
Paciran,ID,2020-03-17 19:51:26,-6.88,112.38,94,88,78.75,3.87
Luau,AO,2020-03-17 19:51:26,-10.71,22.22,100,97,65.8,4.7
Totness,SR,2020-03-17 19:51:26,5.88,-56.32,63,79,80.22,14.99
Saint Paul,US,2020-03-17 19:46:47,44.94,-93.09,40,41,43.0,8.05
Iqaluit,CA,2020-03-17 19:49:25,63.75,-68.51,90,78,15.8,16.11
Manyana,BW,2020-03-17 19:51:26,-23.4,21.72,3,58,68.59,10.51
Poum,NC,2020-03-17 19:49:44,-20.23,164.02,18,75,80.13,15.41
Mirny,RU,2020-03-17 19:51:26,62.54,113.96,40,84,-0.4,6.71
Haines Junction,CA,2020-03-17 19:44:19,60.75,-137.51,45,77,25.48,3.06
Caucaia,BR,2020-03-17 19:51:26,-3.74,-38.65,42,78,82.99,4.7
Livenka,RU,2020-03-17 19:51:27,50.45,38.3,66,65,32.74,4.68
Lebu,CL,2020-03-17 19:49:12,-37.62,-73.65,0,83,57.31,8.19
Hofn,IS,2020-03-17 19:49:22,64.25,-15.21,100,88,37.29,2.01
Lompoc,US,2020-03-17 19:47:23,34.64,-120.46,1,58,57.2,5.82
Matagami,CA,2020-03-17 19:51:24,49.75,-77.63,75,92,17.6,23.04
Neiafu,TO,2020-03-17 19:49:11,-18.65,-173.98,40,79,86.0,11.41
Kholodnyy,RU,2020-03-17 19:49:29,62.72,147.95,86,74,-7.29,5.39
Alyangula,AU,2020-03-17 19:51:27,-13.85,136.42,6,70,86.0,4.7
Hong Kong,HK,2020-03-17 19:45:03,22.29,114.16,20,73,71.01,10.29
Yar-Sale,RU,2020-03-17 19:51:27,66.83,70.83,41,81,9.54,12.71
Makakilo City,US,2020-03-17 19:51:27,21.35,-158.09,90,73,73.4,3.36
Ancud,CL,2020-03-17 19:49:27,-41.87,-73.82,13,76,55.4,6.93
Cidreira,BR,2020-03-17 19:49:10,-30.18,-50.21,96,79,73.58,22.35
Half Moon Bay,US,2020-03-17 19:51:27,37.46,-122.43,90,71,57.2,6.93
Liverpool,GB,2020-03-17 19:51:27,53.41,-2.98,75,87,55.0,18.34
The Valley,AI,2020-03-17 19:51:27,18.22,-63.06,20,69,78.8,6.93
Kiryat Gat,IL,2020-03-17 19:45:04,31.61,34.76,75,87,55.99,10.29
Kamenka,RU,2020-03-17 19:49:39,51.32,42.77,69,59,30.99,5.73
Gambēla,ET,2020-03-17 19:51:28,8.25,34.58,93,50,81.5,1.25
Dzheguta,RU,2020-03-17 19:51:28,43.97,42.04,83,82,24.85,1.25
Socorro,US,2020-03-17 19:51:28,31.65,-106.3,1,45,66.0,13.87
Dingle,PH,2020-03-17 19:49:12,11.0,122.67,22,79,77.63,12.24
Narsaq,GL,2020-03-17 19:49:14,60.92,-46.05,14,46,10.4,6.93
Newnan,US,2020-03-17 19:51:28,33.38,-84.8,1,77,71.01,1.34
Pundaguitan,PH,2020-03-17 19:51:28,6.37,126.17,100,71,80.62,3.56
Kitimat,CA,2020-03-17 19:49:53,54.05,-128.65,20,34,50.0,9.17
Necochea,AR,2020-03-17 19:49:19,-38.55,-58.74,100,88,64.0,1.72
Ukiah,US,2020-03-17 19:51:28,39.15,-123.21,90,81,52.0,3.36
Bethel,US,2020-03-17 19:47:34,41.37,-73.41,40,66,52.0,3.36
Saint-Philippe,RE,2020-03-17 19:49:10,-21.36,55.77,75,88,75.2,6.93
Kunming,CN,2020-03-17 19:47:05,25.04,102.72,20,100,55.0,4.47
Walvis Bay,NA,2020-03-17 19:49:36,-22.96,14.51,0,95,62.01,6.51
Barra Patuca,HN,2020-03-17 19:51:28,15.8,-84.28,0,77,80.2,15.66
Tautira,PF,2020-03-17 19:49:39,-17.73,-149.15,40,70,87.8,6.93
Turan,VN,2020-03-17 19:50:29,16.07,108.22,40,94,75.2,3.36
Chon Daen,TH,2020-03-17 19:51:29,16.19,100.86,30,83,86.0,3.36
Agüimes,ES,2020-03-17 19:51:29,27.91,-15.45,75,72,63.0,17.22
Phan Thiet,VN,2020-03-17 19:49:37,10.93,108.1,0,74,71.42,3.29
Shingū,JP,2020-03-17 19:49:36,33.73,135.98,0,44,57.2,11.41
Aklavik,CA,2020-03-17 19:51:29,68.22,-135.01,75,67,23.0,2.24
Griffith,US,2020-03-17 19:51:29,41.53,-87.42,40,27,48.2,8.05
Kozhevnikovo,RU,2020-03-17 19:51:29,56.26,83.97,77,68,33.01,15.99
Kommunar,RU,2020-03-17 19:51:29,59.62,30.39,75,80,39.2,8.95
Dikson,RU,2020-03-17 19:49:14,73.51,80.55,92,100,-8.59,6.44
Buin,CL,2020-03-17 19:51:29,-33.73,-70.75,0,40,75.2,6.93
Khātra,IN,2020-03-17 19:51:29,22.98,86.85,0,41,72.28,6.13
Ust-Kuyga,RU,2020-03-17 19:51:29,70.02,135.6,60,90,-18.76,1.01
Gimli,CA,2020-03-17 19:50:03,50.63,-96.99,100,60,24.01,5.68
Durant,US,2020-03-17 19:51:30,33.99,-96.37,90,93,61.0,8.05
Martapura,ID,2020-03-17 19:51:30,-3.42,114.85,15,90,76.86,2.24
Talakan,RU,2020-03-17 19:51:30,50.32,130.37,99,94,24.3,3.67
Mount Isa,AU,2020-03-17 19:51:30,-20.73,139.5,0,37,84.2,11.41
Palmer,US,2020-03-17 19:46:48,42.16,-72.33,75,75,48.2,4.7
Severo-Kuril'sk,RU,2020-03-17 19:49:22,50.68,156.12,100,85,21.33,23.49
Jumla,NP,2020-03-17 19:48:40,29.27,82.18,0,51,30.11,5.57
Rabo de Peixe,PT,2020-03-17 19:51:30,37.8,-25.58,20,82,55.4,5.7
Herat Province,AF,2020-03-17 19:51:30,34.5,62.0,100,64,53.82,8.99
Corrales,US,2020-03-17 19:51:30,35.24,-106.61,40,23,66.99,25.28
Tsybli,UA,2020-03-17 19:51:30,49.99,31.56,22,92,26.6,4.47
São João da Barra,BR,2020-03-17 19:49:12,-21.64,-41.05,75,88,75.2,13.87
Visnes,NO,2020-03-17 19:51:30,59.36,5.22,99,81,44.6,17.22
Waidhofen,DE,2020-03-17 19:51:30,48.58,11.33,40,93,48.0,2.24
Chokurdakh,RU,2020-03-17 19:46:08,70.63,147.92,100,92,-7.1,14.79
Lasam,PH,2020-03-17 19:51:30,18.07,121.6,76,82,71.58,4.45
Tuatapere,NZ,2020-03-17 19:49:14,-46.13,167.68,18,74,55.99,7.0
Najrān,SA,2020-03-17 19:49:30,17.49,44.13,8,33,77.0,4.7
Kieta,PG,2020-03-17 19:47:06,-6.22,155.63,38,69,83.98,2.57
Takoradze,GH,2020-03-17 19:49:40,4.88,-1.76,100,85,80.2,6.02
Talā,EG,2020-03-17 19:51:31,30.68,30.94,40,70,46.74,4.72
Hamīrpur,IN,2020-03-17 19:51:31,25.95,80.15,0,35,67.24,5.39
Thunder Bay,CA,2020-03-17 19:49:15,48.4,-89.32,90,77,33.01,11.41
Berbera,SO,2020-03-17 19:51:31,10.44,45.01,48,85,78.82,6.82
Nelson Bay,AU,2020-03-17 19:49:36,-32.72,152.15,20,68,75.0,11.41
Fort Nelson,CA,2020-03-17 19:49:42,58.81,-122.7,75,80,32.0,8.05
Mariehamn,AX,2020-03-17 19:51:31,60.1,19.93,71,81,42.8,11.41
Kuril'sk,RU,2020-03-17 19:51:31,45.23,147.88,19,66,31.32,6.38
Sémbé,CG,2020-03-17 19:51:31,1.65,14.58,83,85,72.05,3.56
Saint-Pierre,RE,2020-03-17 19:47:24,-21.34,55.48,75,88,75.2,6.93
Goroka,PG,2020-03-17 19:51:31,-6.08,145.39,88,67,71.92,1.14
Ozernovskiy,RU,2020-03-17 19:51:31,51.5,156.52,100,65,23.05,17.54
Hithadhoo,MV,2020-03-17 19:49:27,-0.6,73.08,65,76,84.47,12.73
Faya,SA,2020-03-17 19:51:32,18.39,42.45,40,87,62.6,10.29
Moussoro,TD,2020-03-17 19:51:32,13.64,16.49,99,8,76.44,13.98
Namatanai,PG,2020-03-17 19:49:37,-3.67,152.43,100,71,84.06,4.34
Khovd,MN,2020-03-17 19:48:44,48.01,91.64,0,48,25.92,2.17
Acuitzio,MX,2020-03-17 19:51:32,20.34,-101.98,2,30,76.59,7.31
Taoudenni,ML,2020-03-17 19:49:41,22.68,-3.98,92,11,74.73,7.58
Mikhaylovka,RU,2020-03-17 19:51:32,50.06,43.24,0,53,33.6,2.08
Lamin,GM,2020-03-17 19:51:32,13.35,-16.43,0,83,71.6,11.41
Korla,CN,2020-03-17 19:48:07,41.76,86.15,40,53,42.01,1.01
Richards Bay,ZA,2020-03-17 19:48:35,-28.78,32.04,100,70,71.44,21.14
Kurihashi,JP,2020-03-17 19:51:32,36.13,139.7,1,53,54.0,3.36
Aripuanã,BR,2020-03-17 19:51:32,-9.17,-60.63,60,84,77.31,2.19
Canalete,CO,2020-03-17 19:51:32,8.68,-76.2,49,66,84.2,16.11
Saldanha,ZA,2020-03-17 19:49:15,-33.01,17.94,0,82,62.6,6.93
Kjøllefjord,NO,2020-03-17 19:49:41,70.95,27.35,75,79,26.6,2.24
Vila Praia de Âncora,PT,2020-03-17 19:51:32,41.81,-8.85,0,71,60.01,8.05
Sayanogorsk,RU,2020-03-17 19:51:33,53.09,91.4,93,68,34.3,8.97
Laas,IT,2020-03-17 19:51:33,46.62,10.7,15,86,45.0,1.12
Katangli,RU,2020-03-17 19:51:33,51.71,143.23,49,84,26.42,7.63
Amga,RU,2020-03-17 19:51:33,60.9,131.96,96,93,8.55,4.18
Severobaykal'sk,RU,2020-03-17 19:51:33,55.65,109.32,91,74,14.34,3.38
Kaitangata,NZ,2020-03-17 19:49:30,-46.28,169.85,2,72,49.21,5.1
Banda Aceh,ID,2020-03-17 19:49:28,5.56,95.32,67,81,73.47,4.76
Krasnosel'kup,RU,2020-03-17 19:51:33,65.7,82.47,100,93,16.16,13.89
San Jose,US,2020-03-17 19:48:01,37.34,-121.89,75,58,55.99,13.87
